,NASDAQ,AAPl,MSFT,GOOG,AMZN,NVDA,TSLA,META,AVGO,COST,PEP,AMGN,TXN,AMD,TMUS,NFLX,CMCSA,AZN,CSCO,ASML,ADBE,INTC,INTU,SNY,KHC,HON,QCOM,AMAT,BKNG,SBUX,ISRG,ADP,MDLZ,MAR,VRTX,REGN,ADI,ORLY,LRCX,MU,ATVI,CME,PANW,EQIX,SNPS,CHTR,NTES,MELI,PYPL,CDNS,CSX
7/8/2015 16:00:00,4909.76,30.64,44.24,25.84,21.49,4.91,17,85.65,128.05,139.9,95.61,153.52,49.53,2.01,38.47,93.51,30.85,16.08,26.99,97.14,79.99,29.5,103.43,48.06,75.4,96.12,61.91,18.55,1116.94,53.39,53.18,80.03,41.41,73.96,121.54,509.3,61.94,230.82,77.95,17.63,24.8,95.01,57.49,256.35,49.69,172.27,26.47,129.9,34.7,19.22,10.6
7/9/2015 16:00:00,4922.4,30.02,44.52,26.03,21.72,4.85,17.19,85.88,124.68,139.45,94.59,154.99,48.11,1.98,38.77,95.73,31.01,16.14,26.91,99.62,80.47,28.93,103.58,48.78,74.8,96.32,61.86,18.52,1126.07,54.05,53.5,80.69,41.25,74.18,120.89,509.03,60.89,231.38,77.63,17.15,25.13,96.97,58.27,256.68,50.32,172.65,28.19,133.31,34.5,19.45,10.63
7/10/2015 16:00:00,4997.7,30.82,44.61,26.51,22.18,4.94,17.28,87.95,129.84,142.72,95.55,153.26,49.01,1.96,39.03,97.23,31.6,16.61,27.28,102.7,80.59,29.17,104.36,51.49,77.31,97.49,62.73,18.77,1143.19,54.57,54.21,81.52,41.41,75.97,122.95,526.01,61.51,235.9,78.53,17.57,25.36,98.51,60.27,258.78,50.38,177.39,27.99,135.63,34.69,19.58,10.71
7/13/2015 16:00:00,5071.51,31.42,45.54,27.33,22.78,4.97,17.48,90.1,129.18,144.06,97.22,154.5,49.33,1.96,39.26,101.09,31.86,16.8,27.79,103.3,81.44,29.73,105.43,52.1,78.83,98.79,63.43,19.31,1171.39,55.7,55.28,81.73,41.6,76.98,124.24,536.21,61.87,239.82,79.27,17.61,25.89,98.09,60.38,259.94,50.71,178.54,28.21,135.64,36.78,19.79,10.63
7/14/2015 16:00:00,5104.89,31.4,45.62,28.06,23.28,4.97,17.71,89.68,132.3,143.93,97.13,155.39,49.76,2.05,39.44,100.37,31.62,16.96,28.03,103.07,81.89,29.65,105.83,53.34,78,99.08,63.94,18.89,1171.43,55.75,54.66,81.89,41.88,77.26,129.44,542.9,62.62,237.28,79.85,19.61,26.06,97.22,61.42,261.07,51.07,177.08,29.04,134.9,36.93,19.69,10.69
7/15/2015 16:00:00,5098.94,31.71,45.76,28.01,23.06,4.94,17.54,89.76,131.72,143.63,96.35,152.31,49.49,1.96,39.05,98.13,31.88,16.97,28.11,106.68,82.12,29.69,106.33,52.99,76.71,98.85,63.88,18.57,1167.54,55.34,54.5,82.5,41.34,77.36,133.53,543.38,62.92,237.69,79.49,18.89,25.77,97.81,61.71,259.8,51.15,181,28.38,135.6,37.51,19.69,10.8
7/16/2015 16:00:00,5163.18,32.13,46.66,28.99,23.77,5.05,17.78,90.85,134.7,144.33,96.9,151.31,49.36,1.87,38.62,115.81,32.16,16.9,28.32,100.36,82.52,29.9,108.1,53.53,78.75,98.6,64.55,17.87,1182.99,55.74,54.45,82.9,41.97,78.25,133.9,551.53,62.83,238.97,77.35,19.61,25.85,99.17,63.35,262.12,50.79,183.13,30.15,136.01,38.63,19.56,10.72
7/17/2015 16:00:00,5210.14,32.41,46.62,33.65,24.15,5.02,18.31,94.97,133.66,144.68,96.78,154.1,49.36,1.79,38.04,114.77,32.14,16.88,28.18,100.55,82.1,29.47,106.77,53.6,79.63,100.47,64.34,17.77,1216,55.69,54.42,82.39,41.89,77.7,134.17,551.98,62.46,238.69,77.26,20.12,25.81,99.73,63.75,263.5,50.67,185.67,30.19,137.12,38.39,19.54,10.73
7/20/2015 16:00:00,5218.86,33.02,46.92,33.15,24.41,4.93,18.82,97.91,134.64,145.04,97.31,155.76,50.09,1.8,38.08,110.55,32.16,16.96,28.03,101,82.09,29.1,106.63,53.25,80.11,101.26,63.79,17.77,1247.91,56.21,55.29,82.17,41.81,77.83,133.47,561.17,61.99,240.2,77.08,18.89,26.25,99.84,63.34,270.24,50.86,187.51,30.03,136.79,40.47,19.94,10.67
7/21/2015 16:00:00,5208.12,32.69,47.28,33.12,24.4,4.95,17.78,98.39,134.51,144.94,96.93,159.32,50.23,1.8,37.63,112.51,32.14,16.91,27.84,100.9,81.19,28.72,106.15,52.99,80.22,100.34,65.14,17.83,1235.2,56.2,56.12,81.41,42.07,76.6,130.97,560,62.08,239.71,77.37,18.88,26.09,98.7,64.02,268.84,50.28,185.27,30.21,134.63,39.35,19.8,10.62
7/22/2015 16:00:00,5171.77,31.31,45.54,33.1,24.41,4.85,17.86,97.04,129.59,146.38,97.17,160.45,49.3,1.79,37.73,111.5,32.25,16.81,27.53,100.84,80.73,28.61,106.72,53.09,78.64,99.71,64.19,17.49,1233.97,56.69,61.1,81.69,42.25,76.93,131.02,556.53,58.65,240.65,76.48,18,25.95,98.94,64.13,269.55,50.6,186.06,30.03,134.83,38.39,19.49,10.52
7/23/2015 16:00:00,5146.41,31.29,46.11,32.21,24.11,4.91,17.81,95.44,131.97,145.6,96.87,163.04,50.51,1.76,37.93,110.1,31.24,16.64,28.01,101.93,80.64,28.6,107.25,53.37,76.74,99.31,61.78,17.72,1228.96,56.56,61.91,80.94,42.12,74.62,130.85,556.61,60.05,240.67,77.02,18.7,25.94,96.62,65.7,269.39,50.43,183.76,30.12,133.12,37.01,19.3,10.28
7/24/2015 16:00:00,5088.63,31.13,45.94,31.18,26.47,4.86,17.69,96.95,128.48,144.99,96.18,163.27,49.03,1.67,37.4,109.34,31.09,16.44,28.4,98.53,80.98,28.06,106.69,53.54,76.41,97.83,61.64,17.37,1197.42,57.29,60.68,79.78,42.03,74.02,125.5,541.85,58.49,241.85,75.45,18.34,26.18,96.66,65.63,276.06,50.06,184.33,29.73,131.39,37,19.16,10.27
7/27/2015 16:00:00,5039.78,30.69,45.35,31.36,26.57,4.83,16.87,94.17,124.65,144.25,95.66,164.34,49.03,1.62,36.5,106.43,30.56,32.71,28.21,98.63,79.93,28.35,105,53.33,77.38,96.76,61.98,17.38,1186.08,56.98,60.46,79.72,42.03,73.9,123.23,540.03,57.89,239.84,75.45,18.12,25.61,95.55,62.1,276.64,49.23,181.88,27.72,128.89,36.39,18.97,10.17
7/28/2015 16:00:00,5089.21,30.85,45.34,31.4,26.3,4.93,17.65,95.29,128.42,144.55,96.11,163.7,50.08,1.77,36.92,106.9,31.21,32.81,28.21,99.08,80.59,28.96,105.64,53.81,78.32,99.2,63.1,17.62,1208.09,57.14,60.03,80.58,42.8,74.59,128.3,552.45,58.99,240.95,77.75,19.75,25.71,96.16,62.28,279.2,50.24,184.67,28.09,128.64,37.6,20.79,10.36
7/29/2015 16:00:00,5111.73,30.75,46.29,31.6,26.45,4.99,17.59,96.99,128.58,145.38,96.53,164.25,49.96,1.96,37.04,107.08,31.24,33.01,28.4,99.02,80.25,29.01,105.52,52.64,77.91,100.47,63.17,17.55,1219.43,57.51,60.03,82.34,43.1,77,125.62,546.27,58.79,241.71,77.67,19.87,25.98,97.01,61.22,279.22,50.68,184.35,28.29,134,37.95,20.97,10.5
7/30/2015 16:00:00,5128.78,30.59,46.88,31.63,26.84,5.01,17.79,95.21,127.65,145.3,96.63,164.1,50.24,1.93,38.86,111.56,31.18,33.74,28.3,99.09,81.29,28.91,105.74,53.57,79.21,100.32,64.41,17.57,1222.06,58.06,59.96,80.13,45.27,72.64,135.46,547.1,58.82,238.15,78.57,19.9,26.06,97.01,61.73,282.58,50.9,187.96,28.21,130.68,38.45,20.93,10.49
7/31/2015 16:00:00,5128.28,30.33,46.7,31.28,26.81,4.99,17.74,94.01,125.14,145.3,96.35,158.59,49.98,1.93,40.66,114.31,31.21,33.79,28.42,99.17,81.99,28.95,105.77,53.99,79.47,100,64.39,17.36,1243.57,57.93,59.24,79.77,45.13,72.61,135,553.66,58.33,240.31,76.87,18.51,25.79,96.04,61.94,278.91,50.84,185.86,27.73,130.69,38.7,20.97,10.43
