,NASDAQ,AAPl,MSFT,GOOG,AMZN,NVDA,TSLA,META,AVGO,COST,PEP,AMGN,TXN,AMD,TMUS,NFLX,CMCSA,AZN,CSCO,ASML,ADBE,INTC,INTU,SNY,KHC,HON,QCOM,AMAT,BKNG,SBUX,ISRG,ADP,MDLZ,MAR,VRTX,REGN,ADI,ORLY,LRCX,MU,ATVI,CME,PANW,EQIX,SNPS,CHTR,NTES,MELI,PYPL,CDNS,CSX
0,13223.99,174.79,317.01,131.25,129.12,416.1,244.88,299.08,829.08,558.59,175.27,267.7,160.31,96.2,139.35,379.81,45.3,67.83,53.57,587.1,512.9,34.18,508.57,54.02,34.16,189.78,107.68,136.17,3062.54,93.68,288.2,239.35,70.43,194.36,349.53,824.84,175.48,936.02,619.11,68.88,93.92,201.72,228.51,731.91,446.85,445.21,101.84,1276.96,57.88,230.66,31.2
1,13153.821,173.7006,316.00287,131.39127,129.14005,411.97656,245.17848,296.86487,829.9402,553.74585,175.19766,261.01495,159.65738,87.885376,138.90082,381.56064,44.988888,68.70361,53.178658,587.74725,489.48132,35.058468,501.74423,54.91688,34.997528,189.47548,104.511955,137.30539,2992.9104,82.83475,292.02448,238.81146,69.829056,194.201,349.84662,829.6633,174.19281,931.2351,611.7757,67.89599,93.15528,197.64752,229.28044,726.3687,446.01334,444.8611,100.78505,1301.3013,56.99326,229.1109,31.05135
2,13106.365,172.04105,317.01,130.47281,129.49074,409.5504,245.76555,293.34723,826.8998,554.0314,176.43831,263.60284,158.49692,92.89008,140.24817,383.04135,44.317513,68.49757,52.924435,588.0381,480.05994,35.647774,494.52698,55.443703,35.616074,187.70952,98.47651,136.4614,2950.38,83.61393,290.1824,236.72246,70.10873,192.24258,350.06726,779.30304,173.11859,933.1592,609.46423,67.49845,92.51945,200.16869,230.6311,758.06824,444.6222,436.2808,101.601166,1234.4927,57.38963,226.64493,31.454908
3,13299.14,179.81389,322.23227,131.49216,131.15353,420.84814,254.58527,292.6057,846.8574,562.92554,177.35902,268.2628,162.3921,96.12978,142.54239,385.02237,44.527794,69.37043,53.462345,602.3528,492.63208,35.398037,498.0354,56.520443,36.11984,189.94243,100.600624,140.08725,2916.1895,86.17326,291.8453,238.33041,70.38855,192.33208,351.5056,787.6997,175.20633,940.2215,626.99384,68.214035,93.92,201.3322,235.55182,768.71423,449.60223,438.46762,101.68078,1264.7722,60.689022,226.85887,32.039413
4,13405.158,179.744,320.23965,133.52853,131.32376,425.60452,256.30817,293.09668,845.7978,562.92554,176.4073,266.3437,160.61984,101.34481,143.16055,393.47827,44.688103,69.42923,53.550426,606.7261,488.29102,35.178307,498.9777,55.650524,35.867897,188.45036,100.1468,139.77602,2986.1882,86.132065,290.0629,237.16556,70.958885,193.70403,347.66766,777.5055,176.35172,945.9989,624.02246,67.856224,93.473114,201.8751,243.1372,768.8341,449.7837,438.0978,103.91946,1305.8306,61.26386,227.18494,32.060677
5,13269.343,178.01672,318.59515,133.2263,132.11475,419.74716,253.67912,293.1969,835.2503,564.6907,177.22453,266.15283,159.27042,101.36486,141.01642,394.40903,43.717476,69.184166,53.677677,595.5404,486.88074,34.509354,499.76956,55.836754,35.658035,188.63301,97.69458,137.85791,2981.6404,85.65854,288.5288,236.57794,70.73069,194.73767,348.37823,780.3245,171.38593,952.7198,612.99646,67.91586,93.43339,200.8474,247.45079,756.9893,444.9548,425.954,100.12813,1269.2456,51.24515,225.62605,32.209534
6,13397.511,179.80391,323.88547,137.59155,135.68672,422.91858,253.07172,292.9063,843.0088,563.5376,177.35902,265.83148,159.3257,103.33009,141.01642,397.692,43.95735,68.97825,53.91268,608.73883,488.25098,34.379597,503.6186,55.278336,35.44826,188.84616,98.360664,139.43463,2992.6213,85.92615,289.56488,237.8781,70.73069,191.39728,353.37402,774.9215,173.21992,954.0104,624.5328,66.981674,93.92,201.5067,251.00319,778.98535,448.15042,426.9462,101.531494,1310.2701,48.616924,225.78906,31.986254
7,13456.907,179.99356,321.6943,142.2215,137.67606,419.81787,256.597,295.62213,844.4083,565.81305,178.46654,264.00427,157.24945,103.41032,141.68475,407.042,44.467705,68.840935,53.579792,602.23096,485.81058,33.27224,496.9728,55.08207,35.4168,185.43701,96.044174,139.48483,3003.2515,84.54811,290.44135,232.8629,71.2183,190.26332,353.71878,770.816,172.36874,957.44794,624.7128,68.591736,94.95241,199.73236,248.78821,772.1486,445.97296,428.81464,101.18317,1317.9056,49.447544,223.00816,31.964994
8,13383.856,178.81554,320.5585,143.24124,135.75673,417.41345,252.51413,293.63785,847.8869,568.03784,179.27432,264.66675,158.03308,101.565414,143.10074,402.1665,44.307503,68.840935,53.91268,599.7202,479.6799,33.361984,499.7094,54.82399,35.427288,185.0719,95.61957,140.11736,2977.5613,85.051704,292.23352,235.69115,70.72032,189.87534,350.85364,769.57,172.34848,961.2293,624.3326,67.90593,95.27989,201.15768,250.90344,767.94543,446.86005,424.9936,97.987724,1300.9801,46.86362,222.70262,31.99689
9,13524.185,178.31628,321.04675,142.2815,136.69655,423.6053,250.89131,298.6991,856.5316,565.9661,177.35902,265.24902,161.77148,103.711075,143.5992,398.16245,44.297493,69.09593,54.294773,607.3814,489.90143,34.209938,498.29602,55.247345,34.913715,185.77174,98.186905,145.1532,2992.7708,85.586525,294.9999,237.28113,70.56477,191.268,352.04233,776.3206,176.19966,944.6583,649.51074,71.604,96.232216,200.59532,244.61533,768.9738,451.33643,430.43005,102.6659,1318.1869,47.44439,223.87393,32.198906
