,AAPl,MSFT,GOOG,AMZN,NVDA,TSLA,META,AVGO,COST,PEP,AMGN,TXN,AMD,TMUS,NFLX,CMCSA,AZN,CSCO,ASML,ADBE
0,56.75,138.12,60.45,86.98,45.49,15.43,180.45,281.43,291.67,140.28,194.94,130.14,29.01,77.99,272.79,44.71,43.31,47.52,246.04,276.96
1,56.77,137.12,60.38,86.63,46.08,15.85,179.68,276.08,293.41,138.34,193.51,128.85,28.93,78.48,274.46,44.59,43.44,47.77,247.42,276.9
2,56.1,135.67,59.46,85.28,44.31,16.0,177.75,270.33,291.89,137.24,193.19,124.98,28.23,77.61,270.72,44.11,43.04,46.39,242.08,270.83
3,56.76,138.24,60.12,86.1,45.18,16.3,179.85,273.15,296.9,137.85,189.21,127.44,28.46,77.79,267.53,44.38,43.4,46.84,246.27,274.27
4,57.52,139.1,60.43,86.01,45.76,16.32,180.03,274.45,297.14,137.89,192.62,127.73,28.38,78.3,280.48,44.5,43.6,46.15,251.49,274.98
5,59.05,139.68,60.77,86.6,46.5,16.53,184.19,280.91,297.6,137.64,195.59,130.09,29.75,79.53,282.93,45.55,43.58,46.56,260.0,278.29
6,58.97,139.55,60.86,86.82,46.63,17.13,183.28,281.66,297.52,137.45,197.17,129.75,30.53,78.63,285.53,45.23,43.84,46.05,261.64,277.78
7,58.83,141.57,62.15,88.37,49.09,17.19,188.89,290.32,298.39,136.33,196.08,131.69,30.72,79.74,284.25,45.67,44.21,46.36,267.54,279.39
8,58.59,140.41,62.18,88.87,48.55,17.32,189.55,288.48,298.78,136.42,196.69,129.5,30.81,80.01,286.28,45.6,43.79,46.79,254.47,272.7
9,58.82,139.69,62.65,89.37,48.57,17.46,190.39,289.43,302.4,136.96,198.68,130.13,31.14,81.05,293.35,45.93,44.13,47.03,253.76,269.24
10,59.1,137.41,62.27,87.88,47.62,17.13,185.85,286.73,302.86,136.25,200.8,129.46,30.97,81.6,275.3,45.57,43.87,46.71,254.42,265.52
11,60.13,138.43,62.31,89.28,49.0,16.9,189.76,289.57,301.08,136.12,202.89,130.93,32.03,82.09,278.05,46.08,43.72,47.39,260.43,266.84
12,59.99,136.37,62.14,88.29,48.9,17.04,182.34,287.46,299.97,136.66,204.66,128.57,31.51,81.67,266.69,45.77,43.92,47.55,255.29,261.09
13,60.8,137.24,62.96,88.11,48.77,16.98,186.15,280.32,297.32,137.45,203.21,118.95,31.36,81.36,271.27,45.72,44.69,47.05,257.66,261.32
14,60.9,139.94,63.05,89.04,49.22,19.98,186.38,282.31,297.05,137.89,203.56,118.41,31.72,81.48,271.5,44.84,47.25,46.41,264.97,269.7
15,61.65,140.73,63.26,88.07,51.14,21.88,187.89,289.82,296.5,136.64,202.72,120.51,32.71,81.62,276.82,45.65,47.67,46.9,263.99,270.98
16,62.26,144.19,64.5,88.85,51.7,21.85,189.4,291.55,298.94,136.57,202.93,120.0,33.69,82.39,281.86,45.44,47.75,47.17,266.51,271.35
17,60.82,142.83,63.13,88.14,50.73,21.08,189.31,288.16,295.86,136.08,204.83,120.29,33.03,81.77,281.21,45.35,47.59,47.24,264.6,271.45
18,60.82,144.61,63.06,89.0,50.75,21.0,188.25,290.24,299.84,136.9,203.32,117.79,33.13,83.27,291.45,44.69,49.02,47.56,265.65,278.41
19,62.19,143.37,63.01,88.83,50.26,20.99,191.65,292.85,297.11,137.17,203.06,117.99,33.93,82.66,287.41,44.82,49.03,47.51,261.97,277.93
